code,name,grade,establishment_type,phone,establishment_date,bed_count,operation_facility,doctor_count,specialist_by_department,department_specialists,other_staff,consultation_hours,location,has_images,sido,sigungu,summary_hostpital,summary
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQ5IyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz,(의)대선의료재단으뜸요양병원,2등급,의료법인,031-363-5200,,"일반입원실: 상급 : 21 명 , 일반 : 86 명 | 물리치료실: 6 명",장례식장: N | 입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: N | 간병형태: 공동·개인간병,,,,,월요일: 08시 30분~17시 30분 | 화요일: 08시 30분~17시 30분 | 수요일: 08시 30분~17시 30분 | 목요일: 08시 30분~17시 30분 | 금요일: 08시 30분~17시 30분 | 토요일: 08시 30분~12시 30분 | 점심시간_월~금: 12:30~13:30,"경기도 안산시 상록구 용신로 352, (본오동, 목화웨딩홀)",True,경기도,안산시,,"경기도 안산시에 위치한 (의)대선의료재단으뜸요양병원은 의료법인으로 설립된 2등급 요양병원이다. 상급 입원실 21명, 일반 입원실 86명으로 총 107개의 병상을 보유하며, 물리치료실은 6명 규모로 운영된다. 장례식장은 없으며, 단독 건물에 자원봉사활동이 활성화되어 있다. 공동·개인간병 형태로 환자 간호를 제공하고 종교활동은 없지만 자원봉사자 참여가 활발하다. 진료는 월~금 08시30분~17시30분, 토요일 08시30분~12시30분이며 점심시간은 월·금 12시30분~13시30분이다. 연락 및 확인 용이."
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNjEjJDEjJDAjJDgz,(의)밀성학원의료재단 성모요양병원,2등급,의료법인,055-320-2080,2010-07-27,"일반입원실: 상급 : 38 명 , 일반 : 212 명 | 물리치료실: 11 명",장례식장: Y | 입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 6 명 | 의사: 6 명 | 한의사: 3 명,내과: 1 명 | 외과: 2 명,내과: 1 명 | 외과: 2 명,약사: 1 명 | 사회복지사: 1 명 | 물리치료사: 1 명,월요일: 09시 00분~17시 00분 | 화요일: 09시 00분~17시 00분 | 수요일: 09시 00분~17시 00분 | 목요일: 09시 00분~17시 00분 | 금요일: 09시 00분~17시 00분 | 점심시간_월~금: 12시00분~13시00분,"경상남도 김해시 김해대로 2479-1, (삼정동)",True,경상남도,김해시,,"경상남도 김해시에 위치한 (의)밀성학원의료재단 성모요양병원은 2등급 의료법인으로 2010년 7월 27일 설립되었습니다. 병상수는 상급 38명, 일반 212명으로 총 250명 수용 가능하며, 물리치료실은 11명 규모로 운영됩니다. 의료진은 총 6명의 의사(내과 1명, 외과 2명)와 3명의 한의사, 전문의는 내과 1명, 외과 2명이며, 약사 1명, 사회복지사 1명, 물리치료사 1명이 지원합니다. 장례식장이 구비된 단독건물에 위치해 공동간병 형태를 채택하고 종교활동과 자원봉사 활동이 활발하며, 진료는 월~금 09:00~17:00(점심 12:00~13:00)로 운영됩니다. 연락 및 확인 용이."
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjNTEjJDEjJDIjJDgz,(의)수의료재단 서청솔요양병원,1등급,의료법인,055-310-5500,2019-02-07,"일반입원실: 상급 : 18 명 , 일반 : 234 명 | 물리치료실: 29 명",입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동·개인간병,총 인원: 7 명 | 의사: 7 명 | 한의사: 2 명,신경외과: 1 명 | 재활의학과: 2 명 | 가정의학과: 1 명 | 한방부인과: 1 명,신경외과: 1 명 | 재활의학과: 2 명 | 가정의학과: 1 명 | 한방부인과: 1 명,약사: 1 명 | 사회복지사: 2 명 | 물리치료사: 13 명 | 작업치료사: 8 명,월요일: 09시 00분~17시 00분 | 화요일: 09시 00분~17시 00분 | 수요일: 09시 00분~17시 00분 | 목요일: 09시 00분~17시 00분 | 금요일: 09시 00분~17시 00분 | 토요일: 09시 00분~17시 00분 | 점심시간_월~금: 12:30~13:30 | 점심시간_토요일: 12:30~13:30,"경상남도 김해시 금관대로1084번길 15, (흥동)",True,경상남도,김해시,,"서청솔요양병원은 경상남도 김해시에 위치한 1등급 의료법인으로 2019년 2월 7일 설립되었습니다. 병상은 상급 18명, 일반 234명으로 총 252명 수용 가능하며, 물리치료실은 29명 규모로 운영됩니다. 의료진은 총 7명의 일반의사와 2명의 한의사를 포함해 신경외과 1명, 재활의학과 2명, 가정의학과 1명, 한방부인과 1명의 전문의가 배치되어 있으며, 약사 1명, 사회복지사 2명, 물리치료사 13명, 작업치료사 8명이 지원합니다. 단독건물에 자리한 병원은 공동·개인간병 형태를 제공하고 자원봉사와 종교활동이 활성화되어 있으며, 월~토요일 09:00~17:00 진료가 가능하고 점심시간은 12:30~13:30입니다. 연락은 전화/URL 확인 용이합니다."
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz,(의)영님의료재단 개금중앙요양병원,1등급,의료법인,051-582-7001,2010-08-16,"일반입원실: 상급 : 9 명 , 일반 : 176 명 | 물리치료실: 5 명",장례식장: N | 입지정보: 상가건물 | 자원봉사활동: Y | 종교활동: N | 간병형태: 공동간병,총 인원: 6 명 | 의사: 6 명 | 치과의사: 1 명 | 한의사: 2 명,내과: 1 명 | 소아청소년과: 1 명 | 가정의학과: 1 명 | 한방내과: 1 명,내과: 1 명 | 소아청소년과: 1 명 | 가정의학과: 1 명 | 한방내과: 1 명,사회복지사: 1 명 | 물리치료사: 1 명,월요일: 09시 00분~18시 00분 | 화요일: 09시 00분~17시 00분 | 수요일: 09시 00분~17시 00분 | 목요일: 09시 00분~17시 00분 | 금요일: 09시 00분~17시 00분 | 토요일: 09시 00분~13시 00분 | 점심시간_월~금: 12시30분~13시30분,"부산광역시 부산진구 개금온정로 5, 지하1,지상3층 (개금동, 성원상떼뷰)",True,부산광역시,부산진구,,"부산광역시 부산진구 상가건물에 위치한 (의)영님의료재단 개금중앙요양병원은 1등급 의료법인으로 2010년 8월 16일 설립되었습니다. 병상수는 상급 9명, 일반 176명이며 물리치료실은 5명 규모로 운영됩니다. 의료진은 총 6명(의사 6명, 치과의사 1명, 한의사 2명)과 전문의가 내과·소아청소년과·가정의학과·한방내과 각각 1명씩 배치되었고, 사회복지사 1명, 물리치료사 1명이 지원합니다. 장례식장은 없으며, 종교활동은 없고 자원봉사활동이 활발히 진행되며, 공동간병 형태로 운영되고 상가건물에 입지해 교통이 편리합니다. 진료시간은 월요일 09:00-18:00, 화-금 09:00-17:00, 토요일 09:00-13:00(점심 12:30-13:30)이며 연락 및 확인 용이합니다."
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,(의)피터의료재단새소망요양병원,3등급,의료법인,051-722-4848,2005-03-17,"일반입원실: 상급 : 33 명 , 일반 : 108 명 | 물리치료실: 3 명",장례식장: N | 입지정보: 상가건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 4 명 | 의사: 4 명 | 한의사: 2 명,외과: 1 명 | 가정의학과: 1 명,가정의학과: 1 명,사회복지사: 1 명,,"부산광역시 기장군 기장읍 기장해안로 552, (기장읍)",True,부산광역시,기장군,,"부산광역시 기장군에 위치한 (의)피터의료재단새소망요양병원은 3등급 의료법인으로 2005년 3월 17일 설립되었으며, 상급병상 33명과 일반병상 108명을 보유하고 있다. 물리치료실은 3명으로 구성되어 있으며, 의료진은 총 4명의 의사와 2명의 한의사를 포함하고, 외과 1명, 가정의학과 1명, 가정의학과 전문의 1명으로 전문의 구성이 이루어져 있다. 사회복지사 1명과 기타 지원 인력이 함께 일하며, 장례식장은 없고 상가건물 내에 입지해 있어 접근성이 좋다. 자원봉사와 종교활동이 활성화된 공동간병 형태를 운영하고 있으며, 연락 및 확인 용이하다."
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQxMyQzNjE0ODEjODEjJDEjJDIjJDgz,(의)현당의료재단 늘봄요양병원,1등급,의료법인,031-659-7800,2018-04-25,"일반입원실: 상급 : 148 명 , 일반 : 151 명 | 격리병실: 1 명 | 물리치료실: 10 명",입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 5 명 | 의사: 5 명 | 한의사: 1 명,내과: 1 명 | 신경과: 1 명 | 외과: 1 명 | 재활의학과: 1 명 | 한방내과: 1 명,내과: 1 명 | 신경과: 1 명 | 외과: 1 명 | 재활의학과: 1 명 | 한방내과: 1 명,사회복지사: 2 명 | 물리치료사: 8 명 | 작업치료사: 4 명,월요일: 09시 00분~05시 30분 | 화요일: 09시 00분~05시 30분 | 수요일: 09시 00분~05시 30분 | 목요일: 09시 00분~05시 30분 | 금요일: 09시 00분~05시 30분 | 점심시간_월~금: 12:30~13:30,"경기도 용인시 수지구 포은대로59번길 17, 광교복합의료센터,지하1층,1층일부,2층~4층,6층 (상현동)",True,경기도,용인시,,"경기도 용인시 기흥구에 위치한 (의)현당의료재단 늘봄요양병원은 1등급 의료법인으로 2018년 4월 25일에 설립되었습니다. 병상은 상급 148명, 일반 151명, 격리 1명으로 총 300여 명의 환자를 수용할 수 있으며, 물리치료실은 10개 규모로 물리치료 서비스를 제공합니다. 의료진은 총 5명의 일반의사와 1명의 한의사를 포함해 내과, 신경과, 외과, 재활의학과, 한방내과 각 1명의 전문의가 배치되어 있고, 사회복지사 2명, 물리치료사 8명, 작업치료사 4명이 환자 지원에 참여합니다. 단독건물에 자리한 병원은 공동간병 형태를 채택하고 자원봉사와 종교활동이 활발히 이루어지며, 진료는 월~금 09:00~17:30(점심 12:30~13:30)으로 운영됩니다. 연락 및 확인 용이."
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz,(의)환명의료재단 경상남도립김해노인전문병원,3등급,공립,055-330-2000,2005-07-12,"일반입원실: 상급 : 13 명 , 일반 : 186 명 | 물리치료실: 11 명",장례식장: N | 입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 6 명 | 의사: 6 명 | 한의사: 2 명,외과: 1 명 | 영상의학과: 1 명 | 가정의학과: 2 명,영상의학과: 1 명 | 가정의학과: 2 명,사회복지사: 2 명 | 물리치료사: 2 명,월요일: 08시 30분~18시 00분 | 화요일: 08시 30분~18시 00분 | 수요일: 08시 30분~18시 00분 | 목요일: 08시 30분~18시 00분 | 금요일: 08시 30분~18시 00분 | 토요일: 08시 30분~13시 00분 | 점심시간_월~금: 12시30분~13시30분,"경상남도 김해시 김해대로 1814-39, (삼계동)",True,경상남도,김해시,,"(의)환명의료재단 경상남도립김해노인전문병원은 경상남도 김해시에 위치한 3등급 공립 요양병원으로 2005년 7월 12일 설립되었습니다. 병상은 상급 13명, 일반 186명으로 총 199석을 보유하며, 물리치료실은 11명 규모로 운영됩니다. 의료진은 총 6명의 일반의사와 2명의 한의사를 포함해 외과 1명, 영상의학과 1명, 가정의학과 2명의 전문의가 배치되어 있으며, 사회복지사 2명과 물리치료사 2명이 지원합니다. 장례식장은 없고 단독건물에 자리해 공동간병 형태를 채택, 자원봉사와 종교활동이 활성화되어 있으며, 진료시간은 월~금 08:30~18:00, 토 08:30~13:00, 점심은 월·금 12:30~13:30이며, 연락 및 확인 용이합니다."
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNjEjJDEjJDQjJDgz,(학교법인 경암학원)봉정요양병원,4등급,학교법인,063-450-3939,2004-09-24,일반입원실: 일반 : 99 명 | 물리치료실: 11 명,장례식장: N | 입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 3 명 | 의사: 3 명 | 한의사: 1 명,신경외과: 1 명 | 마취통증의학과: 1 명,신경외과: 1 명,사회복지사: 2 명 | 물리치료사: 1 명,월요일: 09시 00분~17시 00분 | 화요일: 09시 00분~17시 00분 | 수요일: 09시 00분~17시 00분 | 목요일: 09시 00분~17시 00분 | 금요일: 09시 00분~17시 00분 | 토요일: 09시 00분~12시 00분 | 점심시간_월~금: 12시00분~13시00분,"전북특별자치도 군산시 쌍천로 82-3, (개정동)",True,전북특별자치도,군산시,,"전북특별자치도 군산시에 위치한 학교법인 경암학원 봉정요양병원은 4등급 요양병원으로 2004년 9월 24일 설립되었습니다. 병상수는 일반입원실 99명이며, 물리치료실은 11명 규모로 운영되고 있습니다. 의료진은 신경외과 전문의 1명, 마취통증의학과 전문의 1명, 한의사 1명, 일반의사 3명으로 구성되어 환자 맞춤형 진료를 제공합니다. 사회복지사 2명과 물리치료사 1명이 환자와 가족을 지원하며, 자원봉사자와 종교단체가 정기적으로 방문해 정신적·신체적 회복을 돕습니다. 장례식장은 없고, 단독건물에 자리해 공동간병 형태를 채택, 종교활동과 자원봉사활동이 활성화되어 있습니다. 진료시간은 월~금 09:00~17:00, 토요일 09:00~12:00(점심 12:00~13:00)이며, 주말에는 제한된 진료가 제공됩니다. 병원은 전북특별자치도 군산시 중심에 위치해 있으며, 단독건물 형태로 주변 환경이 조용합니다. 물리치료실은 11명의 물리치료사가 운영하며, 재활 프로그램이 다양합니다. 연락 및 확인 용이."
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNDEjJDEjJDQjJDgz,365강서수요양병원,3등급,개인,02-2663-0075,2016-09-19,"일반입원실: 상급 : 4 명 , 일반 : 161 명 | 물리치료실: 7 명",입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 4 명 | 의사: 4 명 | 한의사: 1 명,내과: 1 명 | 외과: 1 명 | 정형외과: 1 명,내과: 1 명 | 외과: 1 명 | 정형외과: 1 명,사회복지사: 1 명 | 물리치료사: 1 명,월요일: 09시 00분~18시 00분 | 화요일: 09시 00분~18시 00분 | 수요일: 09시 00분~18시 00분 | 목요일: 09시 00분~18시 00분 | 금요일: 09시 00분~18시 00분 | 점심시간_월~금: 12:00~13:00,"서울특별시 강서구 양천로 35, 1~6층 (방화동, 강서성심병원)",True,서울특별시,강서구,,"서울특별시 강서구에 위치한 365강서수요양병원은 3등급 개인 설립 병원으로 2016년 9월 19일 설립되었습니다. 병상은 상급 4명, 일반 161명으로 구성되며, 물리치료실에는 7명의 물리치료사가 근무합니다. 의료진은 총 4명의 의사(내과 1명, 외과 1명, 정형외과 1명)와 1명의 한의사가 있으며, 사회복지사 1명과 물리치료사 1명이 추가로 지원합니다. 운영 특성으로는 단독건물에 자원봉사와 종교활동이 활성화되어 있고, 공동간병 형태로 환자 돌봅니다. 진료는 월~금 09:00~18:00(점심 12:00~13:00)이며, 사진 제공이 가능하고 연락 및 확인 용이합니다."
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQyIyQ1IyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz,BB요양병원,2등급,개인,052-716-1020,2016-11-11,"일반입원실: 상급 : 9 명 , 일반 : 176 명 | 물리치료실: 5 명",,총 인원: 4 명 | 의사: 4 명 | 한의사: 2 명,성형외과: 1 명 | 가정의학과: 1 명,성형외과: 1 명 | 가정의학과: 1 명,사회복지사: 2 명 | 물리치료사: 2 명,,"울산광역시 북구 염포로 353, (양정동)",True,울산광역시,북구,,"울산광역시 북구에 위치한 BB요양병원은 2등급 개인 설립 병원으로 2016년 11월 11일에 설립되었습니다. 병상은 상급 9명, 일반 176명으로 총 185명 수용이 가능하며, 물리치료실은 5명 규모로 운영됩니다. 의료진은 총 4명의 의사(한의사 2명 포함)와 성형외과 1명, 가정의학과 1명의 전문의가 배치되어 있으며, 사회복지사 2명과 물리치료사 2명이 지원합니다. 병원은 교통이 편리한 위치에 있으며, 연락 및 확인은 용이합니다."
